aspect,agent,engine,anchor,conflict
Gifted,Telepath,Wants to make a power grab with,A nebula,But they will never be able to travel off-world again
Disappearing,Hacker,Wants to find the bomb planted by/on,An engine,But it will mean trusting someone who betrayed them
New,Navigator,Wants to topple a government with,A high-rise,But they will be blacklisted
Despotic,Escaped experiment,Wants to track down,A blaster,But it will make their timeline dangerously unstable
Zero-gravity,Salvager,Wants to arrange the release of,A planet,But it will start a war
Overloaded,Chemist,Wants to pull of a heist with/on/of,A reactor,But it will mean rioting in the streets
Viral,Graffiti artist,Wants to win a race involving,An explosive,But it will cost them their last connection to humanity
Expanding,Robot,wants to change the past of/with,A spaceship,But it will unite their enemies
Mobile,Streamer,Wants to communicate with an alien species through,A network,But a criminal will go free
Top-of-the-line,Prisoner,Wants to create a distraction with,A body modification,But a deadly experiment will be released from containment
Radical,Pilot,Wants to make a major research breakthrough with/on,A cipher,But it will set a mass extermination in motion
Cutting-edge,Chrononaut,Wants the rare material they can only get from,A chemical,But it will mean joining the enemy
Phasing,Extra-terrestrial,Wants to unseat a politician with,A cloaking device,But they will be cutoff from the network forever
Explosive,Revolutionary,Wants to plant a bomb in/on,An algorithm,But they will have to live the rest of their life doing a job they hate
Reckless,Technician,Wants to uncover a government secret involving,A metropolis,But the blowback will fall on their closest friend
Time-manipulating,Pyrokinetic,Wants to carry out an invasion of/with,A drone,But it will mean giving up the chance to fix their biggest regret
Anomalous,Engineer,Wants to conduct blackmail on/with,An organism,But it would mean giving up a fight
Uncharted,Colonist,Wants to explore a new planet with the help of,A machine part,But it will introduce a dangerous new technology to the world
Dark,Bartender,Wants to invent (or discover),A beacon,But it will be the only thing they are remembered for
Government-backed,Artificial intelligence,Wants to change the future of/with,A spacesuit,But it will cause a rift amongst their allies
Privately Owned,Gamer,Wants to restore the lost memory of,A server room,But an innocent person will be executed
Unassuming,Programmer,Wants to perform an assassination of/with,A star system,But a widely used technology will become unstable
Refurbished,Comms operator,Wants to upgrade the tech of,A particle,But they will lose the person closest to them
Poor,Translator,Wants to make a weapon out of,A black hole,But it will make them a fugitive
Digital,Sentient,,An energy shield,
Aqauatic,Blackmailer,,A fuel source,
Secretive,Astrophysicist,,A hover vehicle,
Alien,Bomb-maker,,A control tower,
Gestating,Astroid miner,,A serum,
Infested,Cadet,,A countdown,
Telekinetic,Dj,,A simulation,
Turbo-charged,Bodyguard,,A jump point,
Addictive,Influencer,,A hard drive,
Unlisted,Telekinetic,,A cryo pod,
Rich,Operative,,A time machine,
Untraceable,Terrorist,,A gene,
Black Market,Invader,,A set of coordinates,
Xenophobic,Heist leader,,A spaceport,
Self-destructive,Data scientist,,A jetpack,
Infected,Gene splicer,,A dropship,
Experimental,Arms dealer,,A biome,
Tracked,Weapons specialist,,An energy weapon,
Hovering,Clubber,,A hidden compartment,
Hyper-Intelligent,Supercomputer,,A laser,
Smart,Performance artist,,A power plant,
Long-range,Test subject,,An exo-skeleton,
Advanced,General,,A satelllite,
Blacklisted,Ceo,,A gas giant,
